public-global-fishing-effort-v20231026
Latitude,Longitude,Time Range,MMSI,Entry Timestamp,Exit Timestamp,Apparent Fishing Hours
20.700000,115.100000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412445189,2024-01-05T06:00:00Z,2024-04-29T14:00:00Z,41.58
20.300000,114.900000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412445189,2024-01-05T06:00:00Z,2024-04-29T14:00:00Z,79.66
20.500000,115.100000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412445189,2024-01-05T06:00:00Z,2024-04-29T14:00:00Z,26.88
21.700000,116.300000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412463021,2024-01-18T08:00:00Z,2024-04-21T10:00:00Z,42.84
21.600000,116.300000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412463021,2024-01-18T08:00:00Z,2024-04-21T10:00:00Z,0.75
20.800000,115.300000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412452545,2024-03-14T15:00:00Z,2024-04-18T19:00:00Z,12.31
21.400000,115.900000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412811933,2024-03-23T18:00:00Z,2024-03-26T01:00:00Z,9.25
21.200000,115.800000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412811933,2024-03-23T18:00:00Z,2024-03-26T01:00:00Z,13.08
18.500000,116.700000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412450346,2024-03-07T13:00:00Z,2024-04-13T14:00:00Z,0.00
18.200000,116.300000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412450346,2024-03-07T13:00:00Z,2024-04-13T14:00:00Z,12.11
20.400000,116.700000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451846,2024-03-30T02:00:00Z,2024-05-09T11:00:00Z,0.53
20.400000,117.100000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451846,2024-03-30T02:00:00Z,2024-05-09T11:00:00Z,0.80
21.600000,118.500000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451846,2024-03-30T02:00:00Z,2024-05-09T11:00:00Z,2.23
20.800000,115.300000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412452032,2024-03-03T13:00:00Z,2024-04-28T17:00:00Z,7.05
18.800000,116.300000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412449442,2024-03-02T08:00:00Z,2024-04-25T01:00:00Z,11.91
19.300000,117.900000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412449442,2024-03-02T08:00:00Z,2024-04-25T01:00:00Z,9.10
20.700000,119.100000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412449442,2024-03-02T08:00:00Z,2024-04-25T01:00:00Z,1.25
21.600000,116.500000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412060398,2024-01-13T14:00:00Z,2024-03-07T23:00:00Z,13.07
20.400000,117.700000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451431,2024-03-04T04:00:00Z,2024-05-09T17:00:00Z,11.47
20.300000,117.400000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451431,2024-03-04T04:00:00Z,2024-05-09T17:00:00Z,3.05
20.400000,117.500000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451431,2024-03-04T04:00:00Z,2024-05-09T17:00:00Z,8.74
21.900000,118.300000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451431,2024-03-04T04:00:00Z,2024-05-09T17:00:00Z,0.85
20.800000,115.800000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412464867,2024-04-13T13:00:00Z,2024-04-14T09:00:00Z,8.79
23.800000,118.800000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412444761,2024-04-22T12:00:00Z,2024-04-26T14:00:00Z,8.36
20.800000,115.200000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451843,2024-01-19T07:00:00Z,2024-04-18T06:00:00Z,3.18
21.100000,116.300000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412452094,2024-03-05T01:00:00Z,2024-04-21T18:00:00Z,1.65
19.300000,115.700000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412812312,2024-03-03T10:00:00Z,2024-04-09T22:00:00Z,20.73
19.000000,118.200000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412457858,2024-02-29T04:00:00Z,2024-04-19T15:00:00Z,19.61
19.200000,115.700000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451179,2024-03-17T11:00:00Z,2024-04-14T19:00:00Z,16.77
20.800000,115.300000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451179,2024-03-17T11:00:00Z,2024-04-14T19:00:00Z,39.54
21.700000,116.400000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412461544,2024-04-08T20:00:00Z,2024-05-13T13:00:00Z,18.63
23.100000,118.500000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412446696,2024-04-15T09:00:00Z,2024-04-17T22:00:00Z,1.69
21.400000,116.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412445002,2024-01-04T21:00:00Z,2024-04-24T02:00:00Z,20.15
21.400000,116.200000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412445002,2024-01-04T21:00:00Z,2024-04-24T02:00:00Z,0.90
21.700000,117.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412452128,2024-03-06T13:00:00Z,2024-04-24T19:00:00Z,2.60
19.300000,118.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412321359,2024-02-29T10:00:00Z,2024-04-13T14:00:00Z,1.10
23.800000,118.900000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412452847,2024-02-19T19:00:00Z,2024-04-28T11:00:00Z,8.60
21.600000,116.100000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412470609,2024-04-11T16:00:00Z,2024-04-24T22:00:00Z,1.14
20.200000,118.400000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412448635,2024-03-04T18:00:00Z,2024-04-20T10:00:00Z,9.85
21.900000,117.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412066780,2024-01-06T06:00:00Z,2024-04-04T14:00:00Z,1.03
21.200000,115.800000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412461657,2024-03-25T17:00:00Z,2024-03-26T01:00:00Z,13.27
20.700000,115.300000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412474256,2024-04-21T09:00:00Z,2024-05-22T15:00:00Z,0.75
20.700000,118.100000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412337735,2024-02-29T10:00:00Z,2024-04-15T22:00:00Z,2.90
19.300000,118.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412337735,2024-02-29T10:00:00Z,2024-04-15T22:00:00Z,3.80
18.600000,118.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412337735,2024-02-29T10:00:00Z,2024-04-15T22:00:00Z,0.95
23.000000,118.700000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412444318,2024-01-12T14:00:00Z,2024-04-29T16:00:00Z,2.03
19.300000,117.700000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412452754,2024-02-20T13:00:00Z,2024-04-23T06:00:00Z,0.89
21.700000,118.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412320211,2024-02-29T11:00:00Z,2024-04-15T22:00:00Z,7.29
21.000000,118.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412450531,2024-03-04T09:00:00Z,2024-04-21T11:00:00Z,0.76
20.500000,117.700000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412450531,2024-03-04T09:00:00Z,2024-04-21T11:00:00Z,3.87
19.300000,118.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412450531,2024-03-04T09:00:00Z,2024-04-21T11:00:00Z,8.40
23.000000,118.500000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412061123,2024-01-02T11:00:00Z,2024-02-01T17:00:00Z,0.54
23.100000,118.700000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451643,2024-03-31T02:00:00Z,2024-05-26T21:00:00Z,32.30
20.900000,115.400000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412452045,2024-01-14T10:00:00Z,2024-04-10T16:00:00Z,11.41
19.200000,118.200000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412449278,2024-02-29T10:00:00Z,2024-04-18T19:00:00Z,8.35
23.000000,118.700000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412446502,2024-02-01T03:00:00Z,2024-04-22T10:00:00Z,15.17
20.600000,117.800000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412449278,2024-02-29T10:00:00Z,2024-04-18T19:00:00Z,1.91
22.900000,118.800000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412444806,2024-04-21T04:00:00Z,2024-04-29T15:00:00Z,1.46
